#x y z label
-143.754 190.042 -68.947 point_000
-143.992 188.888 -68.647 point_001
-144.399 187.489 -68.303 point_002
-144.875 185.978 -67.875 point_003
-145.181 184.630 -67.531 point_004
-145.535 183.218 -67.180 point_005
-145.892 181.822 -66.834 point_006
-146.208 180.363 -66.442 point_007
-146.604 178.803 -66.057 point_008
-146.990 177.109 -65.621 point_009
-147.364 175.689 -65.573 point_010
-147.655 174.456 -65.676 point_011
-147.965 173.015 -66.020 point_012
-148.273 171.405 -66.452 point_013
-148.385 171.331 -66.514 point_014
-148.783 169.747 -66.919 point_015
-149.095 168.384 -67.345 point_016
-149.389 167.148 -67.599 point_017
-149.647 166.001 -67.850 point_018
-149.923 164.901 -68.184 point_019
-150.304 163.313 -68.580 point_020
-150.681 161.766 -68.685 point_021
-151.034 160.359 -68.671 point_022
-151.397 158.799 -68.340 point_023
-150.964 159.926 -68.693 point_024
-151.686 157.569 -68.009 point_025
-152.024 156.224 -67.687 point_026
-152.330 154.404 -67.213 point_027
-152.967 152.087 -66.583 point_028
-153.557 149.844 -66.044 point_029
-153.742 148.763 -65.748 point_030
-154.120 147.483 -65.605 point_031
-154.316 146.584 -65.597 point_032
-154.527 145.701 -65.727 point_033
-154.726 144.823 -65.888 point_034
-155.034 143.596 -66.277 point_035
-155.437 141.965 -66.691 point_036
-155.741 140.607 -67.019 point_037
-156.099 139.130 -67.388 point_038
-156.419 137.722 -67.716 point_039
-156.712 136.562 -68.040 point_040
-157.067 134.846 -68.472 point_041
-157.324 133.866 -68.712 point_042
-157.559 132.770 -68.997 point_043
-156.362 132.515 -68.994 point_044
-154.919 132.166 -69.000 point_045
-153.782 131.934 -69.001 point_046
-152.509 131.574 -69.028 point_047
-150.696 131.156 -69.019 point_048
-149.512 130.816 -69.018 point_049
-148.039 130.409 -69.067 point_050
-146.771 130.110 -69.046 point_051
-145.733 129.941 -69.031 point_052
-144.407 129.579 -69.024 point_053
-143.301 129.297 -69.046 point_054
-142.196 129.029 -69.035 point_055
-140.800 128.717 -69.035 point_056
-139.222 128.337 -69.036 point_057
-138.050 128.060 -69.036 point_058
