#x y z label
-32.176 162.842 -77.036 point_000
-33.634 161.823 -77.103 point_001
-35.492 159.440 -77.091 point_002
-36.644 157.407 -77.099 point_003
-37.556 154.783 -77.104 point_004
-38.214 152.188 -77.123 point_005
-38.932 149.288 -77.128 point_006
-39.477 147.062 -77.121 point_007
-39.932 144.999 -77.107 point_008
-40.344 143.220 -77.095 point_009
-40.813 141.054 -77.089 point_010
-41.177 139.369 -77.082 point_011
-41.695 137.486 -77.088 point_012
-42.157 135.315 -77.063 point_013
-42.245 133.782 -77.036 point_014
-42.419 132.380 -77.087 point_015
-42.273 130.785 -77.073 point_016
-42.060 129.149 -77.101 point_017
-41.539 127.490 -77.104 point_018
-40.360 125.243 -77.028 point_019
-39.421 123.299 -77.187 point_020
-38.021 121.848 -77.101 point_021
-36.121 120.335 -77.105 point_022
-34.209 119.278 -77.065 point_023
-31.701 117.927 -77.048 point_024
-29.749 116.936 -77.027 point_025
-28.114 115.941 -77.077 point_026
-26.708 115.187 -77.077 point_027
-24.067 113.838 -77.057 point_028
-21.731 112.480 -77.060 point_029
-19.907 111.584 -77.044 point_030
-18.070 110.887 -77.037 point_031
-16.682 110.446 -77.076 point_032
-15.255 110.301 -77.056 point_033
-13.988 110.220 -77.075 point_034
-12.931 110.371 -77.065 point_035
-11.862 110.468 -77.069 point_036
-10.828 110.734 -77.070 point_037
-9.720 111.036 -77.082 point_038
-8.399 111.606 -77.103 point_039
-7.461 112.118 -77.130 point_040
-6.432 112.904 -77.091 point_041
-5.363 113.844 -77.076 point_042
-4.346 114.949 -77.077 point_043
-3.707 115.830 -77.090 point_044
-2.873 117.170 -77.085 point_045
-2.233 118.230 -77.099 point_046
-1.621 119.331 -77.114 point_047
-1.144 120.336 -77.102 point_048
-0.338 121.747 -77.121 point_049
0.304 122.865 -77.115 point_050
0.613 123.490 -77.126 point_051
1.209 124.589 -77.111 point_052
1.798 125.673 -77.126 point_053
2.460 126.986 -77.124 point_054
3.060 128.107 -77.106 point_055
3.854 129.493 -77.099 point_056
4.700 131.049 -77.114 point_057
5.311 132.110 -77.107 point_058
5.776 133.117 -77.139 point_059
6.133 133.735 -77.170 point_060
6.945 135.199 -77.200 point_061
7.710 136.587 -77.175 point_062
8.268 137.726 -77.104 point_063
8.682 138.663 -77.115 point_064
8.985 139.751 -77.129 point_065
9.190 140.526 -77.129 point_066
9.284 141.099 -77.125 point_067
9.368 142.261 -77.108 point_068
9.347 143.951 -77.114 point_069
9.170 144.932 -77.085 point_070
9.008 146.147 -77.110 point_071
8.759 146.827 -77.089 point_072
8.514 147.678 -77.090 point_073
8.069 148.656 -77.101 point_074
7.748 149.360 -77.109 point_075
7.309 149.960 -77.102 point_076
6.734 150.851 -77.110 point_077
6.261 151.430 -77.114 point_078
5.665 152.074 -77.100 point_079
5.054 152.620 -77.086 point_080
4.394 153.157 -77.087 point_081
3.419 153.908 -77.099 point_082
2.265 154.638 -77.113 point_083
0.952 155.347 -77.103 point_084
-0.487 156.145 -77.098 point_085
-1.659 156.750 -77.093 point_086
-2.919 157.375 -77.095 point_087
-4.261 158.108 -77.091 point_088
-6.415 159.313 -77.086 point_089
-7.723 159.987 -77.085 point_090
-8.936 160.625 -77.073 point_091
-10.236 161.379 -77.089 point_092
-11.679 162.067 -77.064 point_093
-13.118 162.993 -77.105 point_094
-14.258 163.583 -77.108 point_095
-15.515 164.261 -77.106 point_096
-16.950 164.959 -77.107 point_097
-18.049 165.356 -77.087 point_098
-19.162 165.684 -77.088 point_099
-20.357 165.952 -77.080 point_100
-21.777 166.140 -77.084 point_101
-22.927 166.221 -77.095 point_102
-24.481 166.172 -77.106 point_103
-25.401 165.964 -77.054 point_104
-26.651 165.792 -77.111 point_105
-28.368 165.184 -77.071 point_106
-29.775 164.622 -77.098 point_107
-30.969 163.880 -77.077 point_108
