#x y z label
-74.732 -232.993 -73.507 point_000
-75.013 -234.704 -73.544 point_001
-79.410 -246.247 -73.471 point_002
-80.202 -248.136 -73.487 point_003
-81.473 -249.024 -73.444 point_004
-83.402 -249.177 -73.498 point_005
-91.262 -246.198 -73.482 point_006
-103.927 -241.565 -73.521 point_007
-110.766 -239.047 -73.517 point_008
-112.063 -238.556 -73.491 point_009
-113.400 -237.619 -73.500 point_010
-114.003 -236.259 -73.473 point_011
-113.874 -234.685 -73.477 point_012
-109.669 -223.528 -73.425 point_013
-108.912 -221.552 -73.404 point_014
-107.784 -220.051 -73.449 point_015
-106.206 -219.232 -73.433 point_016
-100.404 -217.492 -73.451 point_017
-98.974 -217.115 -73.466 point_018
-97.598 -217.247 -73.406 point_019
-96.128 -217.757 -73.422 point_020
-81.634 -223.263 -73.425 point_021
-80.070 -224.076 -73.413 point_022
-78.911 -225.440 -73.413 point_023
-76.449 -229.131 -73.495 point_024
-75.088 -231.470 -73.479 point_025
