#x y z label
-439.291 288.794 -114.757 point_000
-438.141 314.095 -115.753 point_001
-440.404 354.416 -115.520 point_002
-443.034 394.937 -114.834 point_003
-367.697 406.965 -115.749 point_004
-299.070 414.195 -115.059 point_005
-221.820 421.901 -114.842 point_006
-169.405 425.733 -114.839 point_007
-141.853 437.265 -114.943 point_008
-116.294 440.494 -114.667 point_009
-106.773 391.070 -115.283 point_010
-141.157 379.031 -115.208 point_011
-143.030 354.879 -115.470 point_012
-159.327 349.534 -115.649 point_013
-156.563 320.794 -113.074 point_014
-250.024 308.843 -115.017 point_015
-300.273 302.024 -114.901 point_016
-368.290 295.462 -114.879 point_017
-428.679 288.793 -114.867 point_018
