#x y z label
-72.204 475.269 -115.306 point_000
-116.502 451.612 -114.604 point_001
-133.758 440.710 -114.936 point_002
-178.581 431.139 -115.529 point_003
-266.613 420.965 -115.695 point_004
-314.973 415.768 -115.371 point_005
-323.877 491.618 -115.547 point_006
-325.534 528.195 -114.819 point_007
-298.705 550.245 -112.675 point_008
-264.060 597.580 -110.677 point_009
-220.863 639.375 -110.570 point_010
-193.627 658.342 -111.095 point_011
-167.423 668.859 -110.264 point_012
-137.666 682.845 -110.771 point_013
-104.317 671.816 -111.662 point_014
-72.220 607.409 -113.571 point_015
-62.932 556.356 -115.034 point_016
-89.992 518.743 -115.133 point_017
