#x y z label
46.239 167.374 -111.549 point_000
50.963 170.959 -111.578 point_001
59.809 177.990 -111.681 point_002
68.195 182.724 -111.708 point_003
76.894 189.021 -111.869 point_004
83.175 192.826 -111.940 point_005
90.958 197.834 -111.962 point_006
99.079 202.305 -111.898 point_007
105.925 206.031 -111.941 point_008
118.911 213.214 -111.840 point_009
126.422 219.297 -111.729 point_010
132.970 225.909 -111.662 point_011
139.224 232.969 -111.411 point_012
143.352 239.336 -111.116 point_013
147.024 244.529 -111.005 point_014
152.758 239.394 -111.042 point_015
166.915 233.563 -111.043 point_016
176.678 228.385 -111.037 point_017
188.551 220.551 -110.993 point_018
198.933 214.455 -110.964 point_019
216.192 201.489 -110.973 point_020
225.885 192.717 -111.004 point_021
235.848 185.185 -111.067 point_022
