#x y z label
-98.389 176.273 -109.183 point_000
-93.118 199.224 -109.502 point_001
-86.010 231.668 -109.994 point_002
-79.738 268.346 -110.488 point_003
-70.976 302.842 -111.017 point_004
-66.975 324.015 -111.191 point_005
-61.528 344.923 -111.330 point_006
-54.023 364.428 -111.436 point_007
-47.188 383.539 -111.500 point_008
-34.169 410.673 -111.606 point_009
-25.615 429.166 -111.717 point_010
-13.444 450.390 -111.817 point_011
-2.040 466.650 -111.842 point_012
9.457 479.967 -111.813 point_013
23.329 497.336 -102.728 point_014
28.659 505.428 -111.727 point_015
42.697 521.163 -111.695 point_016
58.927 539.782 -111.583 point_017
71.507 553.036 -111.524 point_018
84.501 567.252 -111.479 point_019
100.948 580.925 -111.596 point_020
118.467 599.638 -111.653 point_021
145.707 631.573 -111.770 point_022
159.182 643.872 -111.824 point_023
176.492 660.743 -111.838 point_024
195.846 678.394 -111.884 point_025
213.384 699.925 -111.789 point_026
241.423 728.343 -111.681 point_027
