#x y z label
18.652 99.406 -108.834 point_000
13.158 95.196 -108.890 point_001
7.268 90.032 -108.878 point_002
1.418 83.520 -108.869 point_003
-3.309 77.916 -108.866 point_004
-7.298 72.350 -108.871 point_005
-11.626 65.668 -108.886 point_006
-15.769 58.268 -108.896 point_007
-19.873 48.756 -108.858 point_008
-24.143 40.810 -108.877 point_009
-27.338 33.275 -108.917 point_010
-31.445 25.212 -108.956 point_011
-35.349 16.363 -109.009 point_012
-38.712 8.485 -109.025 point_013
-41.680 2.879 -109.024 point_014
