#x y z label
-912.689 56.217 -76.043 point_000
-745.979 95.814 -77.089 point_001
-594.408 95.063 -77.061 point_002
-482.088 83.886 -77.091 point_003
-375.612 99.350 -76.741 point_004
-245.611 158.013 -76.277 point_005
-171.264 149.722 -76.371 point_006
-193.285 118.192 -75.869 point_007
-241.235 67.326 -76.397 point_008
-286.961 35.414 -76.491 point_009
-323.458 18.107 -76.976 point_010
-366.049 4.178 -76.696 point_011
-397.863 -0.457 -76.780 point_012
-448.161 -5.842 -77.131 point_013
-499.714 -14.828 -76.470 point_014
-566.163 -30.985 -76.976 point_015
-626.999 -51.724 -76.348 point_016
-685.308 -77.767 -76.687 point_017
-786.349 4.069 -77.061 point_018
-865.435 33.444 -76.348 point_019
